jsonkey_identifier	rdfs:type	schema:name	schema:description	dcterms:creator	schema:image	schema:geo
TX_MOD_1	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1131215_LOCAL STREETS	This is route ID 1131215 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_2	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1130896_LOCAL STREETS	This is route ID 1130896 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_3	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128329_LOCAL STREETS	This is route ID 1128329 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_4	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128334_LOCAL STREETS	This is route ID 1128334 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_5	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128334_LOCAL STREETS	This is route ID 1128334 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_6	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128902_LOCAL STREETS	This is route ID 1128902 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_7	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128901_LOCAL STREETS	This is route ID 1128901 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_8	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128330_LOCAL STREETS	This is route ID 1128330 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_9	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128330_LOCAL STREETS	This is route ID 1128330 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_10	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128327_LOCAL STREETS	This is route ID 1128327 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_11	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128206_LOCAL STREETS	This is route ID 1128206 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
TX_MOD_12	https://opengeospatial.github.io/ELFIE/floodcast/TransportationAssets	1128208_LOCAL STREETS	This is route ID 1128208 with Monitor status	Floodcast_Dewberry	"http://54.225.76.222/geoserver/Dewberry/wms?service=WMS&version=1.1.0&request=GetMap&layers=Dewberry:ELFIE_MODERATE_TX_RDS&styles=&bbox=-1.06283664329E7,3472306.523599997,-1.0626203496E7,3474471.4833000004&width=767&height=768&srs=EPSG:3857&format=image%2Fjpeg"	NA
