jsonkey_identifier	rdfs:type	schema:name	schema:description	dcterms:creator	schema:image	schema:geo
TX_MOD_1	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=1	1131215_LOCAL STREETS	This is route ID 1131215 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_2	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=2	1130896_LOCAL STREETS	This is route ID 1130896 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_3	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=3	1128329_LOCAL STREETS	This is route ID 1128329 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_4	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=4	1128334_LOCAL STREETS	This is route ID 1128334 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_5	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=5	1128334_LOCAL STREETS	This is route ID 1128334 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_6	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=6	1128902_LOCAL STREETS	This is route ID 1128902 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_7	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=7	1128901_LOCAL STREETS	This is route ID 1128901 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_8	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=8	1128330_LOCAL STREETS	This is route ID 1128330 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_9	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=9	1128330_LOCAL STREETS	This is route ID 1128330 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_10	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=10	1128327_LOCAL STREETS	This is route ID 1128327 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_11	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=11	1128206_LOCAL STREETS	This is route ID 1128206 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_12	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=12	1128208_LOCAL STREETS	This is route ID 1128208 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_13	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=13	1128208_LOCAL STREETS	This is route ID 1128208 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_14	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=14	257397_FUNCTIONALLY CLASSIFIED CITY STREETS	This is route ID 257397 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_15	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=15	1129383_LOCAL STREETS	This is route ID 1129383 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_16	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=16	1120253_LOCAL STREETS	This is route ID 1120253 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_17	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=17	1129383_LOCAL STREETS	This is route ID 1129383 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_18	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=18	1129786_LOCAL STREETS	This is route ID 1129786 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_19	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=19	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_20	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=20	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
