"jsonkey_feature_of"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"
"prj_27.36622"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.36622"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53513"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53513"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53518"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53518"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53510"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53510"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53511"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53511"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53512"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53512"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53514"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53514"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53516"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53516"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53519"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53519"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53523"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53523"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53524"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53524"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53525"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53525"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53527"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53527"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
"prj_27.53528"	"gwml2:GW_MonitoringSite"	"Name of site prj_27.53528"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA
