"jsonkey_statid"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"
"1981_354_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_923_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1980_3400_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1980_3401_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1980_3402_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_952_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_429_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_339_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_340_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_341_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_342_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_343_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_344_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_345_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_346_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_347_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_348_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_349_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_350_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_351_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_352_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_353_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_355_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_356_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_357_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_358_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_359_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_360_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_361_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_362_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_363_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_364_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_365_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_366_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_367_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_368_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_369_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_370_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_371_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_372_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_373_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_375_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_376_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_377_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_378_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_379_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_380_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_381_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_382_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_383_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_384_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_385_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_386_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_387_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_388_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_389_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_390_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_391_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_392_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_393_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_394_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_395_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_396_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_397_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_398_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_399_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_400_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_401_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_402_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_403_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_404_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_406_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_407_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_408_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_409_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_410_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_411_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_412_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_413_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_414_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_415_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_416_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_417_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_418_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_815_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_419_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_420_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_421_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_422_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_423_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_424_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_425_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_430_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_431_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_432_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_433_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_434_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_435_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_436_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_437_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_438_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_439_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_440_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_441_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_442_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_443_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_444_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_445_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_446_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_447_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_448_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_449_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_450_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_451_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_452_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_453_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_454_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_455_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_456_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_457_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_458_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_459_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_460_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_461_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_462_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_463_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_464_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_465_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
