jsonkey_identifier	rdfs:type	schema:name	schema:description	dcterms:creator	schema:image	schema:geo
TX_MAJ_1	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=1	1127277_LOCAL STREETS	This is route ID 1127277 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_2	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=2	1127277_LOCAL STREETS	This is route ID 1127277 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_3	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=3	1131215_LOCAL STREETS	This is route ID 1131215 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_4	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=4	1130896_LOCAL STREETS	This is route ID 1130896 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_5	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=5	1128329_LOCAL STREETS	This is route ID 1128329 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_6	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=6	1261166_LOCAL STREETS	This is route ID 1261166 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_7	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=7	1129318_LOCAL STREETS	This is route ID 1129318 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_8	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=8	1128334_LOCAL STREETS	This is route ID 1128334 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_9	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=9	1261222_LOCAL STREETS	This is route ID 1261222 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_10	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=10	1128902_LOCAL STREETS	This is route ID 1128902 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_11	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=11	1129318_LOCAL STREETS	This is route ID 1129318 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_12	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=12	1128208_LOCAL STREETS	This is route ID 1128208 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_13	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=13	257397_FUNCTIONALLY CLASSIFIED CITY STREETS	This is route ID 257397 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_14	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=14	1128208_LOCAL STREETS	This is route ID 1128208 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_15	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=15	1128330_LOCAL STREETS	This is route ID 1128330 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_16	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=16	1128208_LOCAL STREETS	This is route ID 1128208 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_17	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=17	1128207_LOCAL STREETS	This is route ID 1128207 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_18	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=18	1128327_LOCAL STREETS	This is route ID 1128327 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_19	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=19	1128148_LOCAL STREETS	This is route ID 1128148 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MAJ_20	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MAJOR_TX_RDS&featureID=20	1128206_LOCAL STREETS	This is route ID 1128206 with Monitor status	Floodcast_Dewberry	NA	NA
