"jsonkey_feature_of"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"	"jsonkey_id_code"
NA	"gwml2:well"	"Name of site prj_27.36622"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.36622"
NA	"gwml2:well"	"Name of site prj_27.53513"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53513"
NA	"gwml2:well"	"Name of site prj_27.53518"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53518"
NA	"gwml2:well"	"Name of site prj_27.53510"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53510"
NA	"gwml2:well"	"Name of site prj_27.53511"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53511"
NA	"gwml2:well"	"Name of site prj_27.53512"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53512"
NA	"gwml2:well"	"Name of site prj_27.53514"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53514"
NA	"gwml2:well"	"Name of site prj_27.53516"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53516"
NA	"gwml2:well"	"Name of site prj_27.53519"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53519"
NA	"gwml2:well"	"Name of site prj_27.53523"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53523"
NA	"gwml2:well"	"Name of site prj_27.53524"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53524"
NA	"gwml2:well"	"Name of site prj_27.53525"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53525"
NA	"gwml2:well"	"Name of site prj_27.53527"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53527"
NA	"gwml2:well"	"Name of site prj_27.53528"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53528"
NA	"gwml2:well"	"Name of site prj_27.53530"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53530"
NA	"gwml2:well"	"Name of site prj_27.53531"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53531"
NA	"gwml2:well"	"Name of site prj_27.53532"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53532"
NA	"gwml2:well"	"Name of site prj_27.53533"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53533"
NA	"gwml2:well"	"Name of site prj_27.53534"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53534"
NA	"gwml2:well"	"Name of site prj_27.53535"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53535"
NA	"gwml2:well"	"Name of site prj_27.53538"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53538"
NA	"gwml2:well"	"Name of site prj_27.53539"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53539"
NA	"gwml2:well"	"Name of site prj_27.53540"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53540"
NA	"gwml2:well"	"Name of site prj_27.53541"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53541"
NA	"gwml2:well"	"Name of site prj_27.53542"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53542"
NA	"gwml2:well"	"Name of site prj_27.53544"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53544"
NA	"gwml2:well"	"Name of site prj_27.53545"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53545"
NA	"gwml2:well"	"Name of site prj_27.53632"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53632"
NA	"gwml2:well"	"Name of site prj_27.53526"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53526"
NA	"gwml2:well"	"Name of site prj_27.53520"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53520"
NA	"gwml2:well"	"Name of site prj_27.53521"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53521"
NA	"gwml2:well"	"Name of site prj_27.53522"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53522"
NA	"gwml2:well"	"Name of site prj_27.53529"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53529"
NA	"gwml2:well"	"Name of site prj_27.53537"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53537"
NA	"gwml2:well"	"Name of site prj_27.53543"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53543"
NA	"gwml2:well"	"Name of site prj_27.53515"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53515"
NA	"gwml2:well"	"Name of site prj_27.53517"	"description not available"	"http://ngwd-bdnes.cits.nrcan.gc.ca/service/gwml/schemas/gwml.xsd"	NA	"prj_27.53517"
