"jsonkey_huc12"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"	"hyf:realizedCatchment"	"hyf:networkStation"
"070200121110"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Minnesota River"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/070200121110"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=05330920"
"070700051701"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Indian Creek-Wisconsin River"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/070700051701"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=05407000"
"031601130201"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Mill Creek-Black Warrior River"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/031601130201"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=02465000"
"160201020603"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of West Weber-Weber River"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/160201020603"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=10141000"
"020401050911"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Buck Creek-Delaware River"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/020401050911"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=01463500"
"102600080802"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Deer Creek-Smoky Hill River"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/102600080802"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=06877600"
"180201041203"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Packer Lake-Sacramento River"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/180201041203"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=11390500"
"170601080803"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Palouse Lake"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/170601080803"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=13351000"
"150302040410"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Bill Williams River-Lake Havasu"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/150302040410"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=09426620"
"101102050210"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Appel Creek"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/101102050210"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=06337000"
"120302030102"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Fields Bayou-Trinity River"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/120302030102"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=08066500"
"130201011304"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrographicNetwork"	"Hydro Network of Los Alamos Canyon-Rio Grande"	"comment describing the network of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/130201011304"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=08313000"
